Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.000000	0.000000	0	1	1	n	0.11690923	0.45085499	0.22569929	0.43564320
0.000000	0.000000	0	4	all	n	0.09726011	0.66763251	0.13486894	0.54091755
0.000000	0.000000	0	5	all	n	0.09272841	0.70398844	0.12550728	0.56034827
0.000000	0.000000	0	3	one	t	0.18745388	0.60183056	0.25857764	0.50991241
0.000000	0.000000	0	3	50	t	0.19237887	0.58690085	0.27784026	0.50793927
0.000000	0.000000	0	3	75	n	0.10715872	0.56570778	0.18085185	0.50347440
0.000000	0.000000	0	2	all	n	0.10303553	0.60033193	0.15638199	0.48699692
0.000000	0.000000	0	5	75	n	0.10529543	0.58596346	0.17904061	0.53517442
0.000000	0.000000	0	4	one	t	0.18668358	0.61808347	0.25521373	0.53033619
0.000000	0.000000	0	2	75	t	0.19612688	0.54571337	0.29536811	0.48008442
0.000000	0.000000	0	3	one	n	0.10810829	0.53554229	0.16965435	0.46650833
0.000000	0.000000	0	4	75	n	0.10821191	0.57500605	0.18080861	0.52168908
0.000000	0.000000	0	4	50	t	0.19270787	0.59866728	0.27653664	0.52709514
0.000000	0.000000	0	4	50	n	0.10752322	0.59866728	0.17189947	0.52709514
0.000000	0.000000	0	2	50	t	0.19548690	0.55902599	0.28750576	0.48239464
0.000000	0.000000	0	4	one	n	0.10630901	0.54896095	0.16369689	0.47061020
0.000000	0.000000	0	2	one	n	0.11031570	0.52173306	0.18224644	0.46041516
0.000000	0.000000	0	5	50	t	0.18969126	0.61372753	0.27398419	0.54258215
0.000000	0.000000	0	3	50	n	0.10649635	0.58690085	0.17309228	0.50793927
0.000000	0.000000	0	3	all	t	0.18423321	0.64089402	0.22887347	0.51763129
0.000000	0.000000	0	5	one	n	0.10660541	0.56514708	0.15828304	0.47393681
0.000000	0.000000	0	1	1	t	0.20474175	0.45085499	0.35227297	0.43564320
0.000000	0.000000	0	2	50	n	0.10846379	0.55902599	0.17862139	0.48239464
0.000000	0.000000	0	2	75	n	0.10905356	0.54571337	0.18508212	0.48008442
0.000000	0.000000	0	5	one	t	0.18216388	0.64040878	0.24868009	0.54688626
0.000000	0.000000	0	3	75	t	0.19331662	0.56570778	0.28758568	0.50347440
0.000000	0.000000	0	2	one	t	0.19243440	0.57196539	0.27495992	0.48292617
0.000000	0.000000	0	4	all	t	0.18277566	0.66763251	0.22200537	0.54091755
0.000000	0.000000	0	5	75	t	0.18949344	0.58596346	0.28592425	0.53517442
0.000000	0.000000	0	3	all	n	0.09890242	0.64089402	0.14133514	0.51763129
0.000000	0.000000	0	2	all	t	0.18964971	0.60033193	0.25436654	0.48699692
0.000000	0.000000	0	5	all	t	0.17741705	0.70398844	0.21003904	0.56034827
0.000000	0.000000	0	5	50	n	0.10503136	0.61372753	0.16899150	0.54258215
0.000000	0.000000	0	4	75	t	0.19341723	0.57500605	0.28797939	0.52168908
Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.700000	0.000000	0	1	1	n	0.11452870	0.40258191	0.23234964	0.40975633
0.700000	0.000000	0	4	all	n	0.09608849	0.62275757	0.13931525	0.51377315
0.700000	0.000000	0	5	all	n	0.09109060	0.66250094	0.12793276	0.53492810
0.700000	0.000000	0	3	one	t	0.18405832	0.55729989	0.26645901	0.48199016
0.700000	0.000000	0	3	50	t	0.18938474	0.54552938	0.28168781	0.48061077
0.700000	0.000000	0	3	75	n	0.10632723	0.52526162	0.18454688	0.47635333
0.700000	0.000000	0	2	all	n	0.10214683	0.56070389	0.15799660	0.46460000
0.700000	0.000000	0	5	75	n	0.10411506	0.54604267	0.18248349	0.50978018
0.700000	0.000000	0	4	one	t	0.18316453	0.57246443	0.26352841	0.50277693
0.700000	0.000000	0	2	75	t	0.19234114	0.50680368	0.29727450	0.45780418
0.700000	0.000000	0	3	one	n	0.10590998	0.48482980	0.17598108	0.44270868
0.700000	0.000000	0	4	75	n	0.10715585	0.53365216	0.18448872	0.49494397
0.700000	0.000000	0	4	50	t	0.18939819	0.55639611	0.28029491	0.50016853
0.700000	0.000000	0	4	50	n	0.10649982	0.55639611	0.17500342	0.50016853
0.700000	0.000000	0	2	50	t	0.19171080	0.52054337	0.28898977	0.46016885
0.700000	0.000000	0	4	one	n	0.10372207	0.49821126	0.16980745	0.44683129
0.700000	0.000000	0	2	one	n	0.10825330	0.47269271	0.18575595	0.43660774
0.700000	0.000000	0	5	50	t	0.18636982	0.57316143	0.27716616	0.51705827
0.700000	0.000000	0	3	50	n	0.10571408	0.54552938	0.17635961	0.48061077
0.700000	0.000000	0	3	all	t	0.18079932	0.59667780	0.23755968	0.49000202
0.700000	0.000000	0	5	one	n	0.10395825	0.51488178	0.16316307	0.45019161
0.700000	0.000000	0	1	1	t	0.19720184	0.40258191	0.35629836	0.40975633
0.700000	0.000000	0	2	50	n	0.10785164	0.52054337	0.18195976	0.46016885
0.700000	0.000000	0	2	75	n	0.10850561	0.50680368	0.18897034	0.45780418
0.700000	0.000000	0	5	one	t	0.17843709	0.59587334	0.25587232	0.52079455
0.700000	0.000000	0	3	75	t	0.19011667	0.52526162	0.29148051	0.47635333
